,datetime,cars
325,2021 12 14 11 40 01,1147.0
326,2021 12 14 11 50 01,1118.0
327,2021 12 14 12 00 01,1185.0
328,2021 12 14 12 10 01,1065.0
329,2021 12 14 12 20 01,1333.0
330,2021 12 14 12 30 01,1337.0
331,2021 12 14 12 40 01,1459.0
332,2021 12 14 12 50 01,1360.0
333,2021 12 14 13 00 01,1357.0
334,2021 12 14 13 10 01,1554.0
335,2021 12 14 13 20 01,1644.0
336,2021 12 14 13 30 01,1553.0
337,2021 12 14 13 40 01,1577.0
338,2021 12 14 13 50 01,1518.0
339,2021 12 14 14 00 01,1693.0
340,2021 12 14 14 10 01,1647.0
341,2021 12 14 14 20 01,1744.0
342,2021 12 14 14 30 01,1728.0
343,2021 12 14 14 40 01,1712.0
344,2021 12 14 14 50 01,1789.0
345,2021 12 14 15 00 01,1758.0
346,2021 12 14 15 10 01,1917.0
347,2021 12 14 15 20 01,1924.0
348,2021 12 14 15 30 01,1909.0
349,2021 12 14 15 40 01,1990.0
350,2021 12 14 15 50 01,2018.0
351,2021 12 14 16 00 01,1988.0
352,2021 12 14 16 10 01,2415.0
353,2021 12 14 16 20 01,2799.0
354,2021 12 14 16 30 01,2750.0
355,2021 12 14 16 40 01,2334.0
356,2021 12 14 16 50 01,2208.0
357,2021 12 14 17 00 01,2108.0
358,2021 12 14 17 09 56,2130.0
359,2021 12 14 17 20 01,2166.0
360,2021 12 14 17 30 01,2090.0
361,2021 12 14 17 40 01,1964.0
362,2021 12 14 17 50 01,1999.0
363,2021 12 14 18 00 01,1870.0
364,2021 12 14 18 09 56,1844.0
365,2021 12 14 18 20 01,1834.0
366,2021 12 14 18 30 01,1754.0
367,2021 12 14 18 39 56,1582.0
368,2021 12 14 18 50 01,1565.0
369,2021 12 14 19 00 01,1448.0
370,2021 12 14 19 10 01,1459.0
371,2021 12 14 19 20 01,1290.0
372,2021 12 14 19 30 01,1251.0
373,2021 12 14 19 40 01,1269.0
374,2021 12 14 19 50 01,1218.0
375,2021 12 14 19 59 56,1159.0
376,2021 12 14 20 10 01,759.0
377,2021 12 14 20 19 56,860.0
378,2021 12 14 20 30 01,920.0
379,2021 12 14 20 40 01,825.0
380,2021 12 14 20 50 01,917.0
381,2021 12 14 21 00 01,866.0
382,2021 12 14 21 09 56,772.0
383,2021 12 14 21 20 01,888.0
384,2021 12 14 21 30 01,745.0
385,2021 12 14 21 40 01,891.0
386,2021 12 14 21 50 01,780.0
387,2021 12 14 22 00 01,663.0
388,2021 12 14 22 10 01,759.0
389,2021 12 14 22 20 01,880.0
390,2021 12 14 22 30 01,677.0
391,2021 12 14 22 40 01,569.0
392,2021 12 14 22 50 01,648.0
393,2021 12 14 23 00 01,599.0
394,2021 12 14 23 10 01,464.0
395,2021 12 14 23 20 01,505.0
396,2021 12 14 23 29 56,479.0
397,2021 12 14 23 39 56,465.0
398,2021 12 14 23 50 01,409.0
399,2021 12 15 00 00 01,477.0
400,2021 12 15 00 10 01,416.0
401,2021 12 15 00 19 56,343.0
402,2021 12 15 00 30 01,2.0
403,2021 12 15 00 40 01,235.0
404,2021 12 15 00 50 01,328.0
405,2021 12 15 01 00 01,260.0
406,2021 12 15 01 09 56,264.0
407,2021 12 15 01 20 01,306.0
408,2021 12 15 01 30 01,299.0
409,2021 12 15 01 40 01,234.0
410,2021 12 15 01 50 01,269.0
411,2021 12 15 02 00 01,247.0
412,2021 12 15 02 09 56,241.0
413,2021 12 15 02 20 01,243.0
414,2021 12 15 02 30 01,242.0
415,2021 12 15 02 40 01,307.0
416,2021 12 15 02 50 01,311.0
417,2021 12 15 03 00 01,275.0
418,2021 12 15 03 10 01,220.0
419,2021 12 15 03 20 01,263.0
420,2021 12 15 03 30 01,214.0
421,2021 12 15 03 40 01,279.0
422,2021 12 15 03 50 01,311.0
423,2021 12 15 04 00 01,216.0
424,2021 12 15 04 10 01,192.0
425,2021 12 15 04 20 01,248.0
426,2021 12 15 04 30 01,275.0
427,2021 12 15 04 40 01,368.0
428,2021 12 15 04 50 01,340.0
429,2021 12 15 05 00 01,344.0
430,2021 12 15 05 10 01,365.0
431,2021 12 15 05 20 01,422.0
432,2021 12 15 05 30 01,542.0
433,2021 12 15 05 40 01,577.0
434,2021 12 15 05 49 56,629.0
435,2021 12 15 06 00 01,656.0
436,2021 12 15 06 10 01,708.0
437,2021 12 15 06 20 01,592.0
438,2021 12 15 06 30 01,1140.0
439,2021 12 15 06 40 01,1238.0
440,2021 12 15 06 50 01,1460.0
441,2021 12 15 07 00 01,1517.0
442,2021 12 15 07 10 01,1508.0
443,2021 12 15 07 19 56,1529.0
444,2021 12 15 07 30 01,1756.0
